taxa_name	superkingdom	phylum	class	order	family	genus
Lactobacillus iners	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Lactobacillus crispatus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Lactobacillus gasseri	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Lactobacillus jensenii	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Prevotella	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Megasphaera	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera
Sneathia	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia
Atopobium	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium
Streptococcus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Dialister	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister
Lachnospiraceae_8	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	NA
Anaerococcus	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus
Peptoniphilus	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus
Eggerthella	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella
Finegoldia	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia
Proteobacteria_12	Bacteria	Proteobacteria	NA	NA	NA	NA
Ruminococcaceae_3	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	NA
Ureaplasma	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Ureaplasma
Mycoplasmataceae_1	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	NA
Aerococcus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus
Parvimonas	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas
Staphylococcus	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
Corynebacterium	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium
Veillonella	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella
Lactobacillus vaginalis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus
Gardnerella	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Gardnerella
Bacteroides	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Prevotellaceae_2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA
Peptostreptococcus	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcus
